,detected_date,marketplace,search_keyword,img_src,href,product_title,price_value,seller_info
43,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/YyYAAOSwfQ1hhsyq/s-l225.jpg,https://www.ubuy.com.bh/en/product/4CW49CKYC-new-daum-numbered-ed-rose-passion-green-pink-vase-small-05287-brand-nib-f-sh,NEW DAUM NUMBERED ED ROSE PASSION GREEN & PINK VASE SMALL #05287 BRAND NIB F/SH,BHD 711,US Store
44,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/8FEAAOSwilNdp0O2/s-l225.jpg,https://www.ubuy.com.bh/en/product/165QA2LLS-daum-fig-lizard-vase,Daum Fig & Lizard Vase,BHD 312,US Store
45,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/Os8AAOSwkNRh7GoA/s-l225.jpg,https://www.ubuy.com.bh/en/product/7C3TH5YU8-daum-crystal-numbered-ed-snake-vase-green-grey-05249-2-brand-nib-rare-f-sh,DAUM CRYSTAL NUMBERED ED. SNAKE VASE GREEN & GREY #05249-2 BRAND NIB RARE F/SH,BHD 2144,US Store
46,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/sHIAAOSwaxFhKAEs/s-l225.jpg,https://www.ubuy.com.bh/en/product/3NBT57PEC-daum-crystal-numbered-ed-fleur-de-paon-vase-small-05694-brand-nib-colorful-f-s,DAUM CRYSTAL NUMBERED ED. FLEUR DE PAON VASE SMALL #05694 BRAND NIB COLORFUL F/S,BHD 697,US Store
47,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/p5UAAOSwmzthO6Px/s-l225.jpg,https://www.ubuy.com.bh/en/product/41QML01IW-new-daum-crystal-numbered-ed-cattleya-vase-by-emilio-robba-03847-brand-nib-f-s,NEW DAUM CRYSTAL NUMBERED ED. CATTLEYA VASE BY EMILIO ROBBA #03847 BRAND NIB F/S,BHD 716,US Store
48,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/2voAAOSwFzZidsix/s-l225.jpg,https://www.ubuy.com.bh/en/product/Z2ILNB2C-daum-crystal-labrador-with-ball-pate-de-verre-chien-puppy-dog-w-ball-nib,"DAUM CRYSTAL LABRADOR WITH BALL PATE DE VERRE, CHIEN PUPPY DOG w/ BALL, NIB",BHD 78,US Store
49,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/N8kAAOSwMxRjIIea/s-l225.jpg,https://www.ubuy.com.bh/en/product/7ILDYQHXM-daum-france-crystal-medium-coral-sea-vase-factory-new,"Daum France Crystal Medium Coral Sea Vase, Factory New",BHD 1001,US Store
50,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/1fUAAOSwOkBhhsxi/s-l225.jpg,https://www.ubuy.com.bh/en/product/4CW49CKFC-new-daum-numbered-ed-rose-passion-blue-purple-vase-small-05287-3-brand-nib-fs,NEW DAUM NUMBERED ED ROSE PASSION BLUE & PURPLE VASE SMALL #05287-3 BRAND NIB FS,BHD 711,US Store
51,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/jHUAAOSwa4thLU3j/s-l225.jpg,https://www.ubuy.com.bh/en/product/3NBT57OYS-daum-france-hippopotamus-turquoise-pate-de-verre-crystal-mib-02459,Daum France Hippopotamus Turquoise Pate de Verre Crystal MIB 02459,BHD 307,US Store
52,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/iAoAAOSw4NtiIOYm/s-l225.jpg,https://www.ubuy.com.bh/en/product/4Q0V28JW8-daum-france-crystal-039-mini-amber-puppy-standing-039-figurine-factory-new,"Daum France Crystal 'Mini Amber Puppy Standing' Figurine, Factory New",BHD 104,US Store
53,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/ipYAAOSws6RehPjj/s-l225.jpg,https://www.ubuy.com.bh/en/product/47NB30HRS-vintage-daum-crystal-pate-de-verre-rooster-ring-holder-price-for-1-only,"VINTAGE DAUM CRYSTAL PATE DE VERRE ROOSTER RING HOLDER , Price for 1 only",BHD 156,US Store
54,2022-10-04 19:41:11,Ubuy,daum,https://secureir.ebaystatic.com/pictures/aw/pics/stockimage1.jpg,https://www.ubuy.com.bh/en/product/5A9JM7PFE-daum-france-crystal-bird-sculpture,Daum France Crystal Bird Sculpture,BHD 31,US Store
55,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/aqYAAOSwUiBiMhvA/s-l225.jpg,https://www.ubuy.com.bh/en/product/4Q0V28K06-daum-france-crystal-violet-small-039-camelia-039-vase-numbered-factory-new,"Daum France Crystal Violet Small 'Camelia' Vase, Numbered, Factory New",BHD 647,US Store
56,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/mXYAAOSwAyhh8xqX/s-l225.jpg,https://www.ubuy.com.bh/en/product/4JCF0GMJS-daum-france-crystal-small-red-tulip-vase-factory-new,"Daum France Crystal Small Red Tulip Vase, Factory New",BHD 659,US Store
57,2022-10-04 19:41:11,Ubuy,daum,https://i.ebayimg.com/thumbs/images/g/YyEAAOSwdUdgLGLQ/s-l225.jpg,https://www.ubuy.com.bh/en/product/3PQA48WXQ-nib-flawless-exquisite-daum-france-crystal-flame-figurine-paperweight-sculpture,NIB FLAWLESS Exquisite DAUM France Crystal FLAME Figurine Paperweight Sculpture,BHD 67,US Store
